Tienda,Periodo,GOS,GOR,Prod,VtaNeta,JEq,ProdMeta,CAPO *,CAPE *,JEqMeta,VtaNetaMeta
P104 Arequipa - PVH,202603,Sofía V,Joe H,138702,8306917,59.89045698924735,125686.31718572693,70.5,69.5,63.57656168405445,7990704
SO04 Jaen - PVO,202507,Sofía V,José A,138080,7376685,53.42321908602154,146755.26361355084,61.0,60.0,50.26521521861697,8133696
P145 Piura - PVH,202512,Sofía V,Melany A,136861,14816568,108.26012768817195,128218.17010726522,125.0,118.5,115.55747252986609,15107192
SO05 Tarapoto - PVO,202412,Sofía V,José A,136657,14497463,106.08636424731168,0,86.5,81.5,,0
P102 Chiclayo - PVH,202603,Sofía V,Melany A,136369,12134655,88.98392473118284,132233.0819836335,96.5,94.0,87.75356401461035,11603924
P202 LurIn - PVH,202512,Sebastián S,Rodolfo O,136155,9463729,69.50722446236557,116901.40322684984,78.0,74.5,80.95479796453267,9808455
SO04 Jaen - PVO,202511,Sofía V,José A,135504,8069043,59.548465277777844,124375.41237906319,61.0,60.0,64.87651132691487,6920773
SO04 Jaen - PVO,202408,Sofía V,José A,135264,7458412,55.13972446236559,0,61.0,60.0,,0
P333 Ves Placita - PVH,202412,Sebastián S,Rodolfo O,135090,9229774,68.32324596774194,0,68.5,66.0,,0
P145 Piura - PVH,202503,Sofía V,Melany A,135059,13946827,103.26453629032257,116707.79387038908,125.0,118.5,119.5021088779108,12287047
SO04 Jaen - PVO,202503,Sofía V,José A,134198,7813520,58.22391129032259,137745.89217380836,61.0,60.0,56.72415784378432,7814540
P769 Chiclayo Aventura - PVH,202603,Sofía V,Melany A,133870,7190444,53.71229838709678,117597.86308581386,59.5,55.5,53.27894958029915,6265491
P333 Ves Placita - PVH,202603,Sebastián S,Rodolfo O,133828,8284520,61.904415322580654,130985.91720224862,68.5,66.0,59.17940013681813,7751668
P223 Cusco Mall - PVH,202512,Sofía V,Joe H,133795,13331425,99.64048387096774,133894.99616413773,101.0,105.0,99.56627022609135,14809485
P145 Piura - PVH,202603,Sofía V,Melany A,133787,14434788,107.89403897849465,135161.8891143149,125.0,118.5,102.97612103755296,13918447
P225 Cajamarca - PVH,202512,Sofía V,José A,133335,7963820,59.72778225806449,124728.47840832385,64.0,67.0,63.84925408878017,7190640
P147 Juliaca - PVH,202603,Sofía V,Joe H,133202,11875178,89.15144489247312,145442.73742128012,94.0,92.0,81.93317456466171,11916585
P142 Chincha - PVH,202512,Sofía V,Joe H,132662,6200250,46.73723118279566,123985.54153282326,50.5,51.5,50.00784424818259,6398965
P236 Pisco - PVH,202512,Sofía V,Joe H,132388,7649494,57.78067204301072,118325.17652019947,57.5,56.5,64.64806590585682,6945554
SO04 Jaen - PVO,202510,Sofía V,José A,132315,7040091,53.20724462365592,138035.41472134975,61.0,60.0,51.00206598583225,7217127
P146 Tacna - PVH,202512,Sofía V,Joe H,132272,12935574,97.79545698924726,133969.4129861962,96.5,96.0,96.55617458988822,13121848
1593 Aventura SJL - PVH,202603,Sebastián S,Rodolfo O,132061,7976528,60.40040322580648,132938.74719643427,65.5,63.0,55.3895197170739,7363413
P147 Juliaca - PVH,202604,Sofía V,Joe H,131512,10854676,82.53777777778026,120535.44440910162,94.0,92.0,81.93317456466171,9875852
SO04 Jaen - PVO,202410,Sofía V,José A,131462,6476118,49.26217069892474,0,61.0,60.0,,0
1593 Aventura SJL - PVH,202412,Sebastián S,Rodolfo O,131453,8612401,65.51713037634408,0,65.5,63.0,,0
P126 Santa Clara - PVH,202603,Sebastián S,Rodolfo O,131416,13056379,99.35168682795705,147423.7578051518,98.5,96.5,87.16666928327976,12850438
P291 La Curva - PVH,202512,Sebastián S,Rodolfo O,131238,10438795,79.54098118279569,127290.11778703475,84.5,86.5,82.00790117473876,10551779
SO04 Jaen - PVO,202601,Sofía V,José A,131193,7338438,55.93639784946238,128448.95748858717,61.0,60.0,53.7842448352594,6908530
SO04 Jaen - PVO,202403,Sofía V,José A,131187,7377360,56.2356384408602,0,61.0,60.0,,0
P126 Santa Clara - PVH,202604,Sebastián S,Rodolfo O,131009,11515132,87.89559722222474,117718.12212822818,98.5,96.5,87.16666928327976,10261097
P119 Puente Piedra - PVH,202503,Sebastián S,Vik E,130998,12324134,94.0791532258064,130235.38404095279,100.0,98.0,94.62969215896541,12419340
P769 Chiclayo Aventura - PVH,202512,Sofía V,Melany A,130925,7165230,54.72790994623655,113679.87611412382,59.5,55.5,63.02989029304349,7578216
P119 Puente Piedra - PVH,202412,Sebastián S,Vik E,130922,14189301,108.38013440860205,0,100.0,98.0,,0
P126 Santa Clara - PVH,202412,Sebastián S,Rodolfo O,130892,14083464,107.59639784946228,0,98.5,96.5,,0
P147 Juliaca - PVH,202606,Sofía V,Joe H,130603,10084889,77.21797222222439,107771.33651194388,94.0,92.0,81.93317456466171,8830048
P229 Salaverry - PVH,202512,Sebastián S,Johanna V,130474,12340823,94.5847715053763,117388.48187554927,104.5,99.0,105.12805287901469,12977898
P225 Cajamarca - PVH,202503,Sofía V,José A,130467,7621814,58.419657258064504,125725.39363261302,64.0,67.0,60.62270556314178,7169293
P114 Pro - PVH,202603,Sebastián S,Vik E,130369,10730113,82.30546370967744,131418.00764482588,88.0,84.0,78.31726123421582,10292298
P225 Cajamarca - PVH,202603,Sofía V,José A,130225,8228752,63.18878360215055,159358.70456777766,64.0,67.0,56.429371630436094,8992512
P723 Puruchuco - PVH,202512,Sebastián S,Rodolfo O,130182,13559046,104.15459005376336,116061.3987072179,94.5,97.0,116.82648978067812,13272640
P114 Pro - PVH,202412,Sebastián S,Vik E,130173,11944605,91.75946236559136,0,88.0,84.0,,0
P102 Chiclayo - PVH,202512,Sofía V,Melany A,129749,11551133,89.02673387096776,128738.64115334203,96.5,94.0,89.72545613745699,12884560
P122 Ica - PVH,202412,Sofía V,Joe H,129512,9251370,71.43255376344085,0,71.0,74.5,,0
P231 Ventanilla - PVH,202512,Sebastián S,Vik E,129135,10304516,79.79642473118275,131522.4431786822,77.0,79.0,78.34796640753251,10234741
P143 Nvo Chimbote - PVH,202512,Sofía V,Melany A,129095,6714796,52.01446908602148,122695.83886303795,55.0,50.5,54.72716868169868,7258824
SO04 Jaen - PVO,202606,Sofía V,José A,128989,6904548,53.528319444444215,128418.64270393242,61.0,60.0,53.7842448352594,6906900
SO04 Jaen - PVO,202406,Sofía V,José A,128464,6523081,50.777465277777814,0,61.0,60.0,,0
P333 Ves Placita - PVH,202503,Sebastián S,Rodolfo O,128455,7573634,58.95947580645164,114921.40252296934,68.5,66.0,65.90273242171978,7200893
P516 Ilo - PVH,202512,Sofía V,Joe H,128376,7571145,58.97612903225803,111278.41452496637,62.0,58.0,68.0378583063056,7683578
P146 Tacna - PVH,202603,Sofía V,Joe H,128144,11511184,89.82975806451614,152834.02529188822,96.5,96.0,83.32149404806579,12734359
P119 Puente Piedra - PVH,202604,Sebastián S,Vik E,127978,10559330,82.50904861111327,114140.67346893487,100.0,98.0,86.39328487126737,9860988
SO04 Jaen - PVO,202505,Sofía V,José A,127882,6896889,53.93151881720432,126213.86713109347,61.0,60.0,54.644466228393654,6606230
P145 Piura - PVH,202602,Sofía V,Melany A,127786,11615479,90.89791666666663,100101.63634092303,125.0,118.5,102.97612103755296,10308078
SO04 Jaen - PVO,202604,Sofía V,José A,127766,6934665,54.27610416666734,118760.1376177097,61.0,60.0,53.7842448352594,6387424
SO05 Tarapoto - PVO,202503,Sofía V,José A,127747,11605448,90.8467809139784,120362.81754982284,86.5,81.5,96.42054071387999,11190755
P146 Tacna - PVH,202412,Sofía V,Joe H,127590,13512958,105.90929435483868,0,96.5,96.0,,0
P223 Cusco Mall - PVH,202412,Sofía V,Joe H,127519,13269636,104.06003360215061,0,101.0,105.0,,0
P125 SJ Lurigancho - PVH,202512,Sebastián S,Rodolfo O,126924,8524849,67.16481182795695,131799.54296563487,65.5,66.0,64.68041381769241,9503499
1593 Aventura SJL - PVH,202503,Sebastián S,Rodolfo O,126906,7302910,57.545739247311815,87374.7034519169,65.5,63.0,83.58151606224173,6251125
P117 Izaguirre - PVH,202412,Sebastián S,Vik E,126753,10508272,82.90366263440866,0,76.5,75.5,,0
P147 Juliaca - PVH,202512,Sofía V,Joe H,126695,12604025,99.48284274193537,120876.51435617114,94.0,92.0,104.27190622705547,11782917
P465 Sucre - PVH,202503,Sebastián S,Vik E,126391,10527945,83.2968481182795,123712.96027798795,101.5,97.5,85.09977779485095,10494519
P223 Cusco Mall - PVH,202604,Sofía V,Joe H,126182,10790778,85.51768750000203,101835.25469292338,101.0,105.0,90.43989760689435,9209970
SO04 Jaen - PVO,202602,Sofía V,José A,125714,7240401,57.59437500000001,123082.36956708538,61.0,60.0,53.7842448352594,6619892
P114 Pro - PVH,202503,Sebastián S,Vik E,125699,10029563,79.79012096774191,115153.94616053592,88.0,84.0,87.09700001090549,9742404
P769 Chiclayo Aventura - PVH,202605,Sofía V,Melany A,125623,6281220,50.00046370967733,100701.16609400834,59.5,55.5,53.27894958029915,5365252
P147 Juliaca - PVH,202605,Sofía V,Joe H,125614,10527717,83.80994623655828,121236.94174037661,94.0,92.0,81.93317456466171,9933328
P125 SJ Lurigancho - PVH,202412,Sebastián S,Rodolfo O,125523,8758233,69.77372311827959,0,65.5,66.0,,0
P117 Izaguirre - PVH,202512,Sebastián S,Vik E,125437,10564461,84.22105510752675,133090.45014279668,76.5,75.5,79.37805085688025,11910918
P075 Trujillo - PVH,202403,Sofía V,Melany A,125360,15304566,122.08522177419353,0,99.0,32.5,,0
P114 Pro - PVH,202605,Sebastián S,Vik E,125355,9640271,76.90370295698871,112556.34636325599,88.0,84.0,78.31726123421582,8815105
SO05 Tarapoto - PVO,202407,Sofía V,José A,125261,11655660,93.05112231182783,0,86.5,81.5,,0
P231 Ventanilla - PVH,202412,Sebastián S,Vik E,125259,9604739,76.67874327956994,0,77.0,79.0,,0
P122 Ica - PVH,202512,Sofía V,Joe H,125209,9113625,72.7873454301075,135987.55497625214,71.0,74.5,67.01808332087109,9685862
SO05 Tarapoto - PVO,202512,Sofía V,José A,125025,10485945,83.87058467741929,143490.0367780843,86.5,81.5,73.07785847331775,14761073
P130 Chimbote - PVH,202512,Sofía V,Melany A,124674,8072732,64.75079973118278,115243.46339574222,75.5,68.0,70.04936976146324,8703573
P126 Santa Clara - PVH,202601,Sebastián S,Rodolfo O,124635,10522432,84.4263037634409,112747.5089768649,98.5,96.5,87.16666928327976,9827825
P465 Sucre - PVH,202603,Sebastián S,Vik E,124619,10444114,83.80815860215056,114740.99096575812,101.5,97.5,87.68918414433637,10061544
P114 Pro - PVH,202604,Sebastián S,Vik E,124487,9202315,73.92204166666833,107035.70151324039,88.0,84.0,78.31726123421582,8382743
SO03 Huanuco - PVO,202511,Sofía V,José A,124332,8649497,69.56755555555559,118493.87584226183,76.5,80.0,72.99531058899741,7853374
P769 Chiclayo Aventura - PVH,202604,Sofía V,Melany A,124230,6000820,48.30413194444506,94792.23317434711,59.5,55.5,53.27894958029915,5050431
1593 Aventura SJL - PVH,202606,Sebastián S,Rodolfo O,124183,6254351,50.36417361111114,108383.53646979666,65.5,63.0,55.3895197170739,6003312
SO05 Tarapoto - PVO,202507,Sofía V,José A,124052,10864044,87.57639784946241,131523.8636777233,86.5,81.5,82.60131253914862,12214398
P119 Puente Piedra - PVH,202403,Sebastián S,Vik E,124034,11647939,93.90946908602153,0,100.0,98.0,,0
SO04 Jaen - PVO,202501,Sofía V,José A,123974,6603868,53.268306451612915,122760.96726608487,61.0,60.0,53.794527015139025,6651407
1593 Aventura SJL - PVH,202605,Sebastián S,Rodolfo O,123778,6998744,56.54292338709693,115011.4737867334,65.5,63.0,55.3895197170739,6370430
P115 Huancayo - PVH,202511,Sofía V,José A,123664,10619792,85.87648611111116,100564.50922543666,107.5,102.5,105.6017906495569,9832946
P125 SJ Lurigancho - PVH,202503,Sebastián S,Rodolfo O,123658,7417542,59.98449596774196,125470.23393001349,65.5,66.0,59.11794413436305,7764161
SO02 Pucallpa - PVO,202512,Sofía V,José A,123594,12145136,98.26659274193534,120594.04085445596,93.5,94.0,100.71091609458442,11941678
P465 Sucre - PVH,202512,Sebastián S,Vik E,123536,10770884,87.18829301075267,116064.59778662221,101.5,97.5,92.80076849791544,12764237
P126 Santa Clara - PVH,202606,Sebastián S,Rodolfo O,123365,10402007,84.31927777778024,115349.41384445751,98.5,96.5,87.16666928327976,10054624
SO04 Jaen - PVO,202409,Sofía V,José A,123201,6618254,53.719166666666695,0,61.0,60.0,,0
P125 SJ Lurigancho - PVH,202603,Sebastián S,Rodolfo O,123057,7688902,62.48252688172046,131553.57762963322,65.5,66.0,55.81234047827294,7342313
SO05 Tarapoto - PVO,202509,Sofía V,José A,122960,9606492,78.12695138888886,119798.6733219189,86.5,81.5,80.18863175709606,9754738
P119 Puente Piedra - PVH,202602,Sebastián S,Vik E,122901,10786735,87.76796875,114540.39380543392,100.0,98.0,86.39328487126737,9895521
P223 Cusco Mall - PVH,202511,Sofía V,Joe H,122790,10610599,86.41232638888893,109492.04868205982,101.0,105.0,96.90748476915236,10457442
P333 Ves Placita - PVH,202605,Sebastián S,Rodolfo O,122732,7362386,59.987365591397605,114648.54931131439,68.5,66.0,59.17940013681813,6784832
P223 Cusco Mall - PVH,202507,Sofía V,Joe H,122706,9625076,78.44036290322582,127414.52709941164,101.0,105.0,75.54143596585577,11419719
P102 Chiclayo - PVH,202412,Sofía V,Melany A,122608,12278448,100.14375000000003,0,96.5,94.0,,0
P145 Piura - PVH,202412,Sofía V,Melany A,122113,14393863,117.87374327956984,0,125.0,118.5,,0
P216 Proceres - PVS,202606,Hernán P,Daniel R,122028,1165952,9.55475694444445,73326.78487219028,15.0,15.0,13.971887755419019,1024514
P115 Huancayo - PVH,202412,Sofía V,José A,122017,14932341,122.37952284946229,0,107.5,102.5,,0
SO03 Huanuco - PVO,202603,Sofía V,José A,121962,9334129,76.5329569892473,138625.43672875984,76.5,80.0,67.45073327700564,9350387
P115 Huancayo - PVH,202603,Sofía V,José A,121745,11745132,96.47359543010751,115386.39285004592,107.5,102.5,96.70800932222366,11158788
P010 Caminos del Inca - PVS,202605,Hernán P,Daniel R,121694,12787907,105.08274865591315,103846.49919956453,140.5,125.5,117.18897502469719,12169665
P223 Cusco Mall - PVH,202503,Sofía V,Joe H,121503,10544498,86.78400537634406,121842.7748475022,101.0,105.0,86.54184290531336,10553386
P223 Cusco Mall - PVH,202407,Sofía V,Joe H,121347,10506378,86.58115591397852,0,101.0,105.0,,0
P133 Guardia Civil - PVH,202512,Sebastián S,Rodolfo O,121234,9232864,76.15713037634404,116350.807573667,81.0,77.0,79.35367173239648,10159534
P291 La Curva - PVH,202412,Sebastián S,Rodolfo O,121229,10322704,85.15067204301074,0,84.5,86.5,,0
SO05 Tarapoto - PVO,202505,Sofía V,José A,120971,10406454,86.02459005376338,108260.06488602018,86.5,81.5,96.12459054921369,10085642
P126 Santa Clara - PVH,202503,Sebastián S,Rodolfo O,120956,11059698,91.43533602150531,120896.88741263513,98.5,96.5,91.48041654912063,12315081
SO02 Pucallpa - PVO,202603,Sofía V,José A,120904,10383142,85.87903897849456,117800.62719711983,93.5,94.0,84.61950815694568,9968231
P117 Izaguirre - PVH,202603,Sebastián S,Vik E,120499,8437311,70.01989919354841,118051.21856134386,76.5,75.5,67.6979715753391,7991828
P146 Tacna - PVH,202601,Sofía V,Joe H,120493,10143449,84.18323252688172,129912.11464541998,96.5,96.0,83.32149404806579,10824471
P114 Pro - PVH,202511,Sebastián S,Vik E,120361,9580151,79.59486111111117,98943.67101234377,88.0,84.0,96.82428994174698,8608878
P724 Tumbes - PVH,202503,Sofía V,Melany A,120289,7107254,59.0848454301075,102617.39737322778,72.5,68.5,69.25974183646795,6868134
SO04 Jaen - PVO,202405,Sofía V,José A,120204,6091120,50.67331989247313,0,61.0,60.0,,0
P193 Trujillo Mansiche - PVS,202503,Fátima L,Fátima L,120140,3107812,25.868245967741938,76191.68630122374,13.5,12.5,40.789379141882634,941378
P236 Pisco - PVH,202603,Sofía V,Joe H,120071,6484451,54.00528225806451,132658.56321990382,57.5,56.5,50.69826357421992,6725559
P117 Izaguirre - PVH,202403,Sebastián S,Vik E,119878,9145975,76.29379032258065,0,76.5,75.5,,0
P146 Tacna - PVH,202605,Sofía V,Joe H,119824,10442437,87.14821236559081,132364.57245519134,96.5,96.0,83.32149404806579,11028814
SO04 Jaen - PVO,202506,Sofía V,José A,119743,6420726,53.620826388888894,134887.29141029992,61.0,60.0,47.600675963382244,6662679
P225 Cajamarca - PVH,202403,Sofía V,José A,119738,7077844,59.11086021505378,0,64.0,67.0,,0
P146 Tacna - PVH,202604,Sofía V,Joe H,119706,10206022,85.25888194444684,141890.44670970403,96.5,96.0,83.32149404806579,11822524
P516 Ilo - PVH,202603,Sofía V,Joe H,119695,6432504,53.74066532258066,107383.13805009029,62.0,58.0,54.66595376698497,5870202
P119 Puente Piedra - PVH,202511,Sebastián S,Vik E,119583,10277193,85.9418194444445,103626.71771521609,100.0,98.0,99.1751245874976,9287877
SO03 Huanuco - PVO,202507,Sofía V,José A,119561,8149070,68.15826612903227,124122.63882738908,76.5,80.0,65.65337231778072,8471773
P769 Chiclayo Aventura - PVH,202503,Sofía V,Melany A,119551,6436913,53.8423252688172,111379.65905814184,59.5,55.5,57.79253873133007,6168236
P126 Santa Clara - PVH,202511,Sebastián S,Rodolfo O,119548,10556503,88.30344444444451,109455.43166215495,98.5,96.5,96.44567756658891,8535997
P125 SJ Lurigancho - PVH,202403,Sebastián S,Rodolfo O,119495,7545730,63.14658602150539,0,65.5,66.0,,0
P119 Puente Piedra - PVH,202605,Sebastián S,Vik E,119407,11118522,93.11477150537704,120228.60825326118,100.0,98.0,86.39328487126737,10386944
P010 Caminos del Inca - PVS,202606,Hernán P,Daniel R,119394,12302365,103.04038888889117,100554.75198683646,140.5,125.5,117.18897502469719,11783908
SO05 Tarapoto - PVO,202408,Sofía V,José A,119257,11255898,94.38389784946229,0,86.5,81.5,,0
P226 Paita - PVH,202512,Sofía V,Melany A,119238,6746518,56.580463709677375,94928.50029996586,56.0,60.0,71.06946890219045,6482598
P119 Puente Piedra - PVH,202601,Sebastián S,Vik E,119201,10454554,87.70496639784946,113159.87525613092,100.0,98.0,86.39328487126737,9776253
P223 Cusco Mall - PVH,202603,Sofía V,Joe H,119167,11426947,95.89035618279567,119568.63339234533,101.0,105.0,90.43989760689435,10813775
P126 Santa Clara - PVH,202602,Sebastián S,Rodolfo O,119002,10786907,90.64473958333332,108284.24193226044,98.5,96.5,87.16666928327976,9438777
P225 Cajamarca - PVH,202412,Sofía V,José A,118789,7583514,63.84018817204303,0,64.0,67.0,,0
P147 Juliaca - PVH,202511,Sofía V,Joe H,118727,10659761,89.78379861111117,111048.84603336702,94.0,92.0,95.99164035254401,8225214
SO05 Tarapoto - PVO,202411,Sofía V,José A,118646,10489145,88.4069861111111,0,86.5,81.5,,0
P104 Arequipa - PVH,202503,Sofía V,Joe H,118554,8040097,67.81819220430108,115289.11671409696,70.5,69.5,69.73856196624759,7462734
P262 Talara Municipalidad - PVH,202512,Sofía V,Melany A,118455,6905514,58.296639784946194,107532.26084819695,60.5,60.5,64.21806623919588,7271704
P223 Cusco Mall - PVH,202508,Sofía V,Joe H,118453,9312635,78.61856182795702,116313.42723881087,101.0,105.0,80.0650066898949,10376580
SO04 Jaen - PVO,202411,Sofía V,José A,118453,6827657,57.64033333333338,0,61.0,60.0,,0
SO03 Huanuco - PVO,202503,Sofía V,José A,118438,8592178,72.54601478494615,123490.80790383094,76.5,80.0,69.57746965823725,8974387
P291 La Curva - PVH,202603,Sebastián S,Rodolfo O,118321,8836273,74.68054435483876,117130.57290755016,84.5,86.5,71.45670864263732,8369765
SO03 Huanuco - PVO,202407,Sofía V,José A,118212,8187367,69.26001344086016,0,76.5,80.0,,0
P142 Chincha - PVH,202412,Sofía V,Joe H,118081,5984047,50.677271505376346,0,50.5,51.5,,0
SO03 Huanuco - PVO,202510,Sofía V,José A,118047,7592238,64.31546370967743,115564.13045130158,76.5,80.0,65.69718285726512,8106898
P465 Sucre - PVH,202403,Sebastián S,Vik E,117822,10971023,93.11533602150541,0,101.5,97.5,,0
P223 Cusco Mall - PVH,202605,Sofía V,Joe H,117692,10615489,90.19697580645231,105834.63492411494,101.0,105.0,90.43989760689435,9571674
SO03 Huanuco - PVO,202403,Sofía V,José A,117610,8684015,73.83720430107523,0,76.5,80.0,,0
P769 Chiclayo Aventura - PVH,202511,Sofía V,Melany A,117561,5623041,47.830708333333334,93253.86087766153,59.5,55.5,60.29820671314391,4704036
P117 Izaguirre - PVH,202503,Sebastián S,Vik E,117534,8296699,70.5898723118279,125872.28994517167,76.5,75.5,65.91362796064121,9278367
P048 Higuereta - PVH,202508,Sebastián S,Johanna V,117483,8604126,73.23745295698924,94205.30158342618,106.0,102.5,91.33377777449576,9314915
SO04 Jaen - PVO,202401,Sofía V,José A,116915,6136360,52.485557795698924,0,61.0,60.0,,0
P066 Ate - PVH,202512,Sebastián S,Rodolfo O,116902,7631973,65.2852083333333,107276.66120107195,64.5,64.0,71.1428999984923,7792391
P202 LurIn - PVH,202603,Sebastián S,Rodolfo O,116890,8104568,69.3349059139785,105733.12795942808,78.0,74.5,66.9547957752322,7079340
P143 Nvo Chimbote - PVH,202412,Sofía V,Melany A,116853,6508195,55.69549059139788,0,55.0,50.5,,0
P146 Tacna - PVH,202511,Sofía V,Joe H,116846,10162513,86.97329861111119,118678.29156180941,96.5,96.0,85.6307676514471,8809430
P465 Sucre - PVH,202604,Sebastián S,Vik E,116627,9248364,79.29838194444626,104803.34241077057,101.5,97.5,87.68918414433637,9190120
P199 Grifo Kio - PVS,202601,Hernán P,Daniel R,116590,2915277,25.004583333333343,124095.04450175312,22.5,21.0,19.647967156057994,2438215
P146 Tacna - PVH,202602,Sofía V,Joe H,116566,9772019,83.83255208333331,123172.34068534133,96.5,96.0,83.32149404806579,10262903
SO03 Huanuco - PVO,202508,Sofía V,José A,116469,8030241,68.94717741935483,119206.4188914056,76.5,80.0,67.36416868050848,8065606
P465 Sucre - PVH,202505,Sebastián S,Vik E,116346,9108123,78.28450940860212,102349.65532694815,101.5,97.5,88.99026763602474,9344925
P221 Barranca - PVH,202512,Sofía V,José A,116250,3709388,31.90880376344084,113939.94261671984,32.5,32.0,32.55564549894441,3613824
P102 Chiclayo - PVH,202403,Sofía V,Melany A,116074,10869841,93.64541666666666,0,96.5,94.0,,0
P223 Cusco Mall - PVH,202403,Sofía V,Joe H,116041,10374754,89.40613575268819,0,101.0,105.0,,0
P075 Trujillo - PVH,202412,Sofía V,Melany A,116029,16134149,139.05227150537627,0,99.0,32.5,,0
SO03 Huanuco - PVO,202601,Sofía V,José A,115835,8570756,73.99131720430101,130159.94548710033,76.5,80.0,67.45073327700564,8779384
P333 Ves Placita - PVH,202601,Sebastián S,Rodolfo O,115829,6665892,57.54936155913979,108205.02870923988,68.5,66.0,59.17940013681813,6403509
P104 Arequipa - PVH,202512,Sofía V,Joe H,115820,7787355,67.23674059139786,112402.42309663267,70.5,69.5,69.28102469201387,8072411
P115 Huancayo - PVH,202605,Sofía V,José A,115778,10633331,91.84249327956834,99185.69500836298,107.5,102.5,96.70800932222366,9592051
P146 Tacna - PVH,202503,Sofía V,Joe H,115557,10777878,93.26874327956986,116629.38891095745,96.5,96.0,92.41133491858164,10232435
SO05 Tarapoto - PVO,202508,Sofía V,José A,115552,10790023,93.3777419354838,125219.3779107347,86.5,81.5,86.16895268152422,11717909
P333 Ves Placita - PVH,202606,Sebastián S,Rodolfo O,115441,6738012,58.3674097222231,106743.32737228795,68.5,66.0,59.17940013681813,6317006
SO04 Jaen - PVO,202402,Sofía V,José A,115420,6169302,53.45083333333334,0,61.0,60.0,,0
SO05 Tarapoto - PVO,202510,Sofía V,José A,115349,9854178,85.42935483870967,119773.46061499079,86.5,81.5,82.27346900893214,9961736
P126 Santa Clara - PVH,202505,Sebastián S,Rodolfo O,115304,10640804,92.28469758064513,104108.57598034492,98.5,96.5,102.20871508230906,10280494
P126 Santa Clara - PVH,202403,Sebastián S,Rodolfo O,115140,11348128,98.55948252688171,0,98.5,96.5,,0
P102 Chiclayo - PVH,202604,Sofía V,Melany A,115132,9436243,81.9600347222248,101730.10039471094,96.5,94.0,87.75356401461035,8927179
P147 Juliaca - PVH,202412,Sofía V,Joe H,115120,11595524,100.72510752688173,0,94.0,92.0,,0
SO03 Huanuco - PVO,202605,Sofía V,José A,115114,8596435,74.67781586021488,123777.23603853211,76.5,80.0,67.45073327700564,8348865
P465 Sucre - PVH,202501,Sebastián S,Vik E,114960,9130389,79.4221975806451,106061.04696379416,101.5,97.5,86.08616482087737,9123322
P114 Pro - PVH,202606,Sebastián S,Vik E,114958,8419492,73.23997916666849,105648.84895751612,88.0,84.0,78.31726123421582,8274129
P465 Sucre - PVH,202511,Sebastián S,Vik E,114898,9049452,78.76103472222223,113502.83713522171,101.5,97.5,79.72886465577002,9891318
